feature,coefficient,abs_coef
price_pct_change,1.7003942080144279,1.7003942080144279
min_distance_km,-0.5267955315115251,0.5267955315115251
rain_4wk_sum,0.40553965551040444,0.40553965551040444
supply_ndvi_lag3,0.3921111098272765,0.3921111098272765
supply_ndvi_lag2,0.38669555083902646,0.38669555083902646
month,0.3621526179774031,0.3621526179774031
min_travel_hrs,0.3478544273137184,0.3478544273137184
is_wet_season,0.33536634240659885,0.33536634240659885
stress_x_distance,-0.3211329307884541,0.3211329307884541
supply_ndvi_4wk_trend,0.18631365661901658,0.18631365661901658
local_ndvi_lag3,-0.1546545384067664,0.1546545384067664
supply_ndvi_lag4,-0.15278340622568362,0.15278340622568362
flood_risk_lag1,-0.09623816885916958,0.09623816885916958
rain_lag1,-0.07425854540507955,0.07425854540507955
local_ndvi_lag2,-0.03258743738382157,0.03258743738382157
rain_lag2,0.02094851849561707,0.02094851849561707
